Package                       Version
----------------------------- ---------
absl-py                       0.10.0
actionlib                     1.12.1
aiohttp                       3.6.2
airsim                        1.3.0
angles                        1.9.12
astor                         0.8.1
astunparse                    1.6.3
async-timeout                 3.0.1
attrs                         20.2.0
bondpy                        1.8.5
cachetools                    4.1.1
camera-calibration            1.15.0
camera-calibration-parsers    1.11.13
catkin                        0.7.29
certifi                       2020.6.20
chardet                       3.0.4
cloudpickle                   1.6.0
controller-manager            0.18.2
controller-manager-msgs       0.18.2
cv-bridge                     1.13.0
cycler                        0.10.0
dataclasses                   0.8
diagnostic-analysis           1.9.7
diagnostic-common-diagnostics 1.9.7
diagnostic-updater            1.9.7
dynamic-reconfigure           1.6.3
future                        0.18.2
gast                          0.2.2
gazebo-plugins                2.8.7
gazebo-ros                    2.8.7
gencpp                        0.6.5
geneus                        2.2.6
genlisp                       0.4.16
genmsg                        0.5.16
gennodejs                     2.0.1
genpy                         0.6.14
google-auth                   1.22.0
google-auth-oauthlib          0.4.1
google-pasta                  0.2.0
grpcio                        1.32.0
gym                           0.18.0
h5py                          2.10.0
idna                          2.10
idna-ssl                      1.1.0
image-geometry                1.13.0
importlib-metadata            2.0.0
interactive-markers           1.11.5
joblib                        0.16.0
joint-state-publisher         1.12.15
joint-state-publisher-gui     1.12.15
kdl-parser-py                 1.13.1
Keras-Applications            1.0.8
Keras-Preprocessing           1.1.2
kiwisolver                    1.2.0
laser-geometry                1.6.5
Markdown                      3.2.2
matplotlib                    3.3.2
message-filters               1.14.10
msgpack-python                0.5.6
msgpack-rpc-python            0.4.1
multidict                     4.7.6
numpy                         1.18.5
oauthlib                      3.1.0
opencv-contrib-python         4.4.0.44
opencv-python                 4.4.0.44
opt-einsum                    3.3.0
pandas                        1.1.5
Pillow                        7.2.0
pip                           20.2.3
pkg-resources                 0.0.0
protobuf                      3.13.0
pyasn1                        0.4.8
pyasn1-modules                0.2.8
pyglet                        1.5.0
pyparsing                     2.4.7
python-dateutil               2.8.1
python-qt-binding             0.4.3
pytz                          2021.1
qt-dotgraph                   0.4.2
qt-gui                        0.4.2
qt-gui-cpp                    0.4.2
qt-gui-py-common              0.4.2
requests                      2.24.0
requests-oauthlib             1.3.0
resource-retriever            1.12.6
ros-numpy                     0.0.3
rosbag                        1.14.10
rosboost-cfg                  1.14.9
rosclean                      1.14.9
roscreate                     1.14.9
rosgraph                      1.14.10
roslaunch                     1.14.10
roslib                        1.14.9
roslint                       0.11.2
roslz4                        1.14.10
rosmake                       1.14.9
rosmaster                     1.14.10
rosmsg                        1.14.10
rosnode                       1.14.10
rosparam                      1.14.10
rospy                         1.14.10
rosserial-arduino             0.8.0
rosserial-client              0.8.0
rosserial-python              0.8.0
rosservice                    1.14.10
rostest                       1.14.10
rostopic                      1.14.10
rosunit                       1.14.9
roswtf                        1.14.10
rqt-action                    0.4.9
rqt-bag                       0.4.14
rqt-bag-plugins               0.4.14
rqt-console                   0.4.9
rqt-dep                       0.4.9
rqt-graph                     0.4.11
rqt-gui                       0.5.2
rqt-gui-py                    0.5.2
rqt-image-view                0.4.16
rqt-launch                    0.4.8
rqt-logger-level              0.4.8
rqt-moveit                    0.5.7
rqt-msg                       0.4.8
rqt-nav-view                  0.5.7
rqt-plot                      0.4.9
rqt-pose-view                 0.5.8
rqt-publisher                 0.4.8
rqt-py-common                 0.5.2
rqt-py-console                0.4.8
rqt-reconfigure               0.5.3
rqt-robot-dashboard           0.5.7
rqt-robot-monitor             0.5.13
rqt-robot-steering            0.5.10
rqt-runtime-monitor           0.5.7
rqt-rviz                      0.6.0
rqt-service-caller            0.4.8
rqt-shell                     0.4.9
rqt-srv                       0.4.8
rqt-tf-tree                   0.6.0
rqt-top                       0.4.8
rqt-topic                     0.4.11
rqt-web                       0.4.8
rsa                           4.6
rviz                          1.13.14
scikit-learn                  0.23.2
scipy                         1.5.2
sensor-msgs                   1.12.7
setuptools                    50.3.0
six                           1.15.0
smach                         2.0.1
smach-ros                     2.0.1
smclib                        1.8.5
stable-baselines3             0.10.0
tensorboard                   1.15.0
tensorboard-plugin-wit        1.7.0
tensorflow                    1.15.4
tensorflow-estimator          1.15.1
termcolor                     1.1.0
tf                            1.12.1
tf-conversions                1.12.1
tf2-geometry-msgs             0.6.5
tf2-kdl                       0.6.5
tf2-py                        0.6.5
tf2-ros                       0.6.5
threadpoolctl                 2.1.0
topic-tools                   1.14.10
torch                         1.7.1
tornado                       4.5.3
typing-extensions             3.7.4.3
urdfdom-py                    0.4.4
urllib3                       1.25.10
Werkzeug                      1.0.1
wheel                         0.35.1
wrapt                         1.12.1
xacro                         1.13.9
yarl                          1.6.0
zipp                          3.2.0
